dataset,unique_identifier,plot,line,rep,treatment,block,row,col,DF,DPM,PLHA,POM_c2,SW100,TSW,YDHA,YDHPL,YdHa_clean
Dar16C_hiP,16ADB04001.000,4001,DAB_913,R1,T6,B1,1,1,38,80,20,11.6,38,109.512,938.067907,1013.11334,507.0637335
Dar16C_hiP,16ADB04132.000,4132,DAB_609,R1,T120,B1,1,2,40,83,28,11.6,45,191.646,1637.904767,1263.526535,887.3615336
Dar16C_hiP,16ADB04133.000,4133,DAA_122,R1,T357,B7,1,3,39,84,34,11.8,52,264.654,2261.868488,1436.951746,1222.631615
Dar16C_hiP,16ADB04264.000,4264,AFR_735,R1,T219,B7,1,4,40,81,37,11.6,54,217.728,1865.034419,1088.77685,1008.126713
Dar16C_hiP,16ADB04265.000,4265,RAA_030,R1,T186,B13,1,5,47,81,35,11.6,57,232.713,1977.609506,1220.467581,1077.510434
Dar16C_hiP,16ADB04396.000,4396,SEN_056,R1,T389,B13,1,6,39,82,43,12.1,22,285.768,2434.012326,1222.666657,1315.682338
Dar16C_hiP,16ADB04397.000,4397,DAB_593,R2,T137,B1,1,7,39,81,32,11.6,47,172.368,1476.485581,996.6277674,798.1003143
Dar16C_hiP,16ADB04528.000,4528,NUA_365,R2,T139,B1,1,8,40,82,37,11.6,44,127.008,1087.936744,635.119829,588.0739158
Dar16C_hiP,16ADB04529.000,4529,CAL_143,R2,T377,B7,1,9,48,84,27,11.6,46,187.083,1602.532674,1282.02614,866.2338781
Dar16C_hiP,16ADB04660.000,4660,NDZ_002,R2,T322,B7,1,10,39,83,37,11.6,47,123.201,1055.326395,616.0824362,570.4467002
Dar16C_hiP,16ADB04661.000,4661,DAA_145,R2,T310,B13,1,11,39,81,40,11.6,52,104.949,898.9817442,485.4501419,485.9360779
Dar16C_hiP,16ADB04792.000,4792,DAB_614,R2,T127,B13,1,12,38,81,30,11.6,49,145.152,1234.917209,889.1403907,672.0844752
Dar16C_hiP,16ADB04002.000,4002,RAA_021,R1,T185,B1,2,1,43,81,24,11.6,49,232.713,1977.609506,1779.848555,1077.510434
Dar16C_hiP,16ADB04131.000,4131,DAA_016,R1,T354,B1,2,2,38,80,26,12.2,48,250.965,2135.147965,1773.815233,1154.134035
